,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.8680555555555556,0.98,0.9331103678929766,0.8633641807294502,0.918200408997955,0.9126050420168067,0.947795235681703,0.8887187340479836,0.7744014732965009,0.8966288269693843,0.8984723331354368,0.8984723331354368
recall,0.9029927760577915,0.9860681114551083,0.8637770897832817,0.8183694530443757,0.9267285861713106,0.8405572755417957,0.9649122807017544,0.8983488132094943,0.8679050567595459,0.8966288269693843,0.8966288269693842,0.8966288269693843
f1-score,0.885179564997471,0.9830246913580247,0.8971061093247589,0.8402649006622517,0.9224447868515665,0.8751007252215954,0.9562771669649706,0.8935078265332307,0.8184914841849148,0.8966288269693843,0.8968219173443094,0.8968219173443094
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.8966288269693843,17442.0,17442.0
