,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.8927145708582834,0.976530612244898,0.9440677966101695,0.872885979268958,0.9306829765545361,0.9338888888888889,0.9578680203045685,0.8959183673469387,0.7787448465414567,0.9072354087833964,0.9092557842909665,0.9092557842909663
recall,0.9231166150670794,0.9876160990712074,0.8622291021671826,0.8255933952528379,0.9422084623323014,0.8673890608875129,0.9736842105263158,0.9060887512899897,0.8771929824561403,0.9072354087833964,0.9072354087833963,0.9072354087833964
f1-score,0.9076610857432775,0.9820420728578758,0.901294498381877,0.8485812781755503,0.9364102564102564,0.8994114499732477,0.965711361310133,0.900974858902001,0.8250424654210143,0.9072354087833964,0.9074588141305815,0.9074588141305815
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.9072354087833964,17442.0,17442.0
