,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.9798999463998571,0.9850427350427351,0.9285714285714286,0.737860533041256,0.909853249475891,0.9601173020527859,0.9821671195652174,0.9825714597425267,0.9763297131718184,0.9722449867643326,0.9380459430070575,0.971929322249016
recall,0.9908314890926335,0.9779899230973217,0.814829987709955,0.7171753016323634,0.8851121685927941,0.8446852425180599,0.9841729067392784,0.9848277747402953,0.9829539082651115,0.9722449867643326,0.9091754113764237,0.9722449867643326
f1-score,0.9853353994026365,0.9815036593479707,0.8679903993017674,0.7273708835702717,0.8973121984838043,0.8987098545155092,0.9831689901394084,0.9836983234121566,0.97963061275811,0.9722449867643326,0.9227467023257372,0.9719529532906511
support,22141.0,3771.0,2441.0,2818.0,2942.0,1938.0,11752.0,36580.0,53502.0,0.9722449867643326,137885.0,137885.0
