,0,1,2,3,4,5,6,7,8,9
0,21695,1,6,41,2,191,129,44,32,22141
1,0,3705,0,1,2,1,3,23,36,3771
2,1,17,2083,27,18,3,2,114,176,2441
3,8,4,24,2150,3,4,3,10,612,2818
4,3,5,10,4,2643,5,14,228,30,2942
5,278,1,1,4,3,1589,55,3,4,1938
6,156,5,0,2,12,31,11517,15,14,11752
7,33,53,152,81,626,18,44,35359,214,36580
8,79,18,187,1482,51,15,51,277,51342,53502
9,22253,3809,2463,3792,3360,1857,11818,36073,52460,137885
