,0,1,2,3,4,5,6,7,8,9
0,21938,0,1,13,0,42,106,15,26,22141
1,0,3688,0,2,0,1,3,39,38,3771
2,0,12,1989,14,12,2,2,153,257,2441
3,9,2,12,2021,1,1,1,14,757,2818
4,1,3,5,4,2604,2,7,273,43,2942
5,247,0,3,0,3,1637,39,5,4,1938
6,148,4,0,1,4,11,11566,8,10,11752
7,13,31,66,42,230,6,27,36025,140,36580
8,32,4,66,642,8,3,25,132,52590,53502
9,22388,3744,2142,2739,2862,1705,11776,36664,53865,137885
