,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.9749247292499887,0.9726962457337884,0.8457166057653268,0.5669831223628692,0.7866071428571428,0.8556812062466344,0.9745303773904214,0.980206802871954,0.978688524590164,0.9579214562860354,0.8817816396742544,0.9613732191698938
recall,0.9798563750508107,0.9824980111376292,0.8533387955755838,0.7629524485450674,0.898368456832087,0.8199174406604747,0.98000340367597,0.9666211044286496,0.9596276774700011,0.9579214562860354,0.9114648570418081,0.9579214562860354
f1-score,0.97738433121593,0.9775725593667546,0.8495106035889071,0.6505295007564297,0.8387813392573786,0.8374176548089591,0.9772592278319898,0.9733665505897898,0.9690643815707518,0.9579214562860354,0.8945429054429879,0.9592162428058562
support,22141.0,3771.0,2441.0,2818.0,2942.0,1938.0,11752.0,36580.0,53502.0,0.9579214562860354,137885.0,137885.0
