,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.6028481012658228,0.6403552047360631,0.6962106615285806,0.6629885057471264,0.5384615384615384,0.5526315789473685,0.5734098517455762,0.5825864276568502,0.44860152560842714,0.5836486641440202,0.5886770439663725,0.5886770439663727
recall,0.5897832817337462,0.6697626418988648,0.5593395252837977,0.7440660474716202,0.44788441692466463,0.28173374613003094,0.6186790505675954,0.7043343653250774,0.6372549019607843,0.5836486641440202,0.5836486641440202,0.5836486641440202
f1-score,0.596244131455399,0.6547288776796973,0.6203147353361945,0.7011913445173839,0.48901408450704226,0.37320574162679426,0.5951849094068007,0.6377014716187807,0.5265401833297805,0.5836486641440202,0.5771250532753193,0.5771250532753193
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.5836486641440202,17442.0,17442.0
