,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.6636259977194983,0.7931404072883173,0.6796785304247991,0.6671207992733879,0.6095490716180372,0.564845292955892,0.7495750708215297,0.6604460628129267,0.5,0.6498108015135879,0.6542201369904875,0.6542201369904874
recall,0.6006191950464397,0.7636738906088751,0.6109391124871001,0.7579979360165119,0.5928792569659442,0.44272445820433437,0.6826625386996904,0.7487100103199175,0.6480908152734778,0.6498108015135879,0.6498108015135879,0.6498108015135879
f1-score,0.6305525460455038,0.7781282860147214,0.6434782608695652,0.7096618357487923,0.6010986136541983,0.49638414810529363,0.7145557655954632,0.701813784764208,0.5644943820224719,0.6498108015135879,0.6489075136466909,0.6489075136466907
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.6498108015135879,17442.0,17442.0
