,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.7811938413716062,0.8638888888888889,0.7915194346289752,0.6761487964989059,0.618421052631579,0.26804123711340205,0.7944116584367096,0.7997311827956989,0.7552484124019425,0.7748050911991877,0.7054005005297453,0.7667830132471513
recall,0.7264351203649339,0.32988597189074514,0.18353133961491191,0.10965223562810504,0.015975526852481305,0.013415892672858616,0.5612661674608578,0.8620831055221433,0.944731038092034,0.7748050911991877,0.41633071089989676,0.7748050911991877
f1-score,0.7528200327638661,0.47745154480905777,0.29797140006651146,0.18870229007633588,0.031146454605699137,0.025552825552825554,0.6577910745450013,0.8297374098826501,0.8394296959984057,0.7748050911991877,0.4556225253667059,0.7460002637280011
support,22141.0,3771.0,2441.0,2818.0,2942.0,1938.0,11752.0,36580.0,53502.0,0.7748050911991877,137885.0,137885.0
