,0,1,2,3,4,5,6,7,8,9
0,1283,34,12,101,35,194,136,40,103,1938
1,19,1547,32,5,60,92,35,81,67,1938
2,5,86,1327,59,142,61,16,77,165,1938
3,20,6,40,1589,14,64,3,14,188,1938
4,16,61,199,50,1159,97,44,155,157,1938
5,281,147,78,127,92,873,154,47,139,1938
6,128,114,31,15,49,128,1299,137,37,1938
7,22,67,37,28,137,21,90,1467,69,1938
8,17,32,161,235,90,59,8,73,1263,1938
9,1791,2094,1917,2209,1778,1589,1785,2091,2188,17442
