,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.7797504798464492,0.8575653031049778,0.7833686440677966,0.8441003737319808,0.8414766558089034,0.750758035172832,0.8382735309412377,0.819672131147541,0.7300326950023354,0.8048388946221764,0.8049997609804503,0.8049997609804505
recall,0.8384932920536635,0.8978328173374613,0.7631578947368421,0.8157894736842105,0.7997936016511867,0.6388028895768834,0.8317853457172343,0.8513931888544891,0.8065015479876161,0.8048388946221764,0.8048388946221764,0.8048388946221764
f1-score,0.808055693684734,0.8772372069573985,0.7731312075274438,0.8297034898976646,0.8201058201058201,0.6902704209645943,0.835016835016835,0.8352315869400152,0.7663643049767099,0.8048388946221764,0.8039018406745796,0.8039018406745796
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.8048388946221764,17442.0,17442.0
