,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.9380804953560371,0.9138779527559056,0.864,0.8666666666666667,0.9317943336831059,0.9327233584499461,0.9450207468879668,0.9063492063492063,0.8825974025974026,0.9086687306501547,0.9090122403051374,0.9090122403051375
recall,0.9380804953560371,0.958204334365325,0.891640866873065,0.8787409700722394,0.9164086687306502,0.8942208462332302,0.9401444788441693,0.8839009287925697,0.8766769865841073,0.9086687306501547,0.9086687306501547,0.9086687306501547
f1-score,0.9380804953560371,0.9355163727959698,0.877602844083291,0.8726620548296182,0.9240374609781478,0.9130663856691253,0.9425763062596999,0.8949843260188087,0.8796272327206834,0.9086687306501547,0.9086837198568202,0.9086837198568202
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.9086687306501547,17442.0,17442.0
