,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.6837046745303627,0.8370951913640824,0.7403640256959315,0.7976125881714595,0.7409138110072689,0.660175879396985,0.8001089324618736,0.7833333333333333,0.6855072463768116,0.7476780185758514,0.7476461869264566,0.7476461869264565
recall,0.8075335397316822,0.8802889576883385,0.7136222910216719,0.7585139318885449,0.7363261093911249,0.542311661506708,0.7579979360165119,0.8003095975232198,0.7321981424148607,0.7476780185758514,0.7476780185758515,0.7476780185758514
f1-score,0.7404778802933523,0.858148893360161,0.7267472411981083,0.7775720708807193,0.7386128364389234,0.5954674220963173,0.7784843667196608,0.7917304747320061,0.7080838323353293,0.7476780185758514,0.7461472242282865,0.7461472242282865
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.7476780185758514,17442.0,17442.0
