,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.906963249516441,0.7064940577249575,0.34910641754671,0.35018515536950573,0.43882113821138213,0.24394141145139814,0.8686196980589503,0.9332443257676902,0.9409404388714734,0.8354715886427095,0.6375906547242788,0.8778062491566905
recall,0.8471162097466239,0.8827897109520021,0.7042195821384678,0.7718239886444287,0.7338545207341944,0.4726522187822497,0.822498298162015,0.8598961180973209,0.8415386340697544,0.8354715886427095,0.7707099201474509,0.8354715886427095
f1-score,0.8760187758342869,0.7848638453377343,0.46680244399185333,0.4817809281205006,0.5492241160010175,0.32179870015808887,0.8449300699300699,0.8950700718503237,0.8884679138053516,0.8354715886427095,0.6787729850032475,0.8506968246179173
support,22141.0,3771.0,2441.0,2818.0,2942.0,1938.0,11752.0,36580.0,53502.0,0.8354715886427095,137885.0,137885.0
