,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.7163595756560581,0.7387774594078319,0.692227438706312,0.7193300135808058,0.6518560179977503,0.5494021397105098,0.7277310924369748,0.7015781922525107,0.5772394881170019,0.6769292512326568,0.6749446019850838,0.6749446019850839
recall,0.6620227038183695,0.7982456140350878,0.6847265221878225,0.8199174406604747,0.5980392156862745,0.4504643962848297,0.6702786377708978,0.7569659442724458,0.651702786377709,0.6769292512326568,0.6769292512326568,0.6769292512326568
f1-score,0.6881201394475731,0.7673611111111112,0.6884565499351492,0.7663371111646974,0.623789020452099,0.4950382761553728,0.6978243352135375,0.7282204020848846,0.6122152205525934,0.6769292512326568,0.6741513517907797,0.6741513517907798
support,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,1938.0,0.6769292512326568,17442.0,17442.0
