,0,1,2,3,4,5,6,7,8,9
0,570,48,72,78,65,36,208,439,1221,2737
1,92,8,8,15,15,8,40,76,180,442
2,73,4,2,9,3,3,21,52,145,312
3,66,3,8,6,9,5,36,65,170,368
4,68,3,14,5,9,4,30,60,185,378
5,46,6,1,7,7,3,22,27,103,222
6,296,26,32,34,26,13,103,232,625,1387
7,906,77,88,135,94,63,382,750,1991,4486
8,1280,106,133,200,164,108,481,1147,2813,6432
9,3397,281,358,489,392,243,1323,2848,7433,16764
