,Beech,Birch,Douglas fir,Fir,Larch,Maples,Oaks,Pine,Spruce,accuracy,macro avg,weighted avg
precision,0.16779511333529584,0.028469750889679714,0.00558659217877095,0.012269938650306749,0.02295918367346939,0.012345679012345678,0.07785336356764928,0.2633426966292135,0.3784474640118391,0.25435456931519923,0.1076744202165078,0.25131403974680716
recall,0.2082572159298502,0.01809954751131222,0.00641025641025641,0.016304347826086956,0.023809523809523808,0.013513513513513514,0.07426099495313626,0.1671868033883192,0.4373445273631841,0.25435456931519923,0.10724297007835362,0.25435456931519923
f1-score,0.18584936419954354,0.022130013831258646,0.005970149253731343,0.014002333722287048,0.023376623376623377,0.012903225806451613,0.07601476014760147,0.20452686119443686,0.40576992426974395,0.25435456931519923,0.10561591731129753,0.2487484923416779
support,2737.0,442.0,312.0,368.0,378.0,222.0,1387.0,4486.0,6432.0,0.25435456931519923,16764.0,16764.0
